term,definition
"Access Control","Mechanism that restricts access to resources based on identity, roles, or attributes to ensure only authorized entities can interact with them."
"Access Control List (ACL)","A list of permissions attached to an object specifying which subjects can perform which actions on it."
"Access Token","A digital object containing security credentials representing an authorized user or service, commonly used in OAuth 2.0 and OpenID Connect."
"Account Harvesting","The systematic collection of valid usernames or email addresses, often as a precursor to credential stuffing or targeted phishing."
"Account Lockout","Security mechanism that temporarily or permanently disables an account after a defined number of failed login attempts."
"Account Takeover (ATO)","An attack where an attacker gains full control over a legitimate user's account, often via stolen credentials or session hijacking."
"Active Attack","An attack that modifies data or system behavior rather than just passively observing it."
"Active Directory (AD)","Microsoft's directory service for Windows domain networks, widely targeted in enterprise attacks."
"Address Resolution Protocol (ARP) Spoofing","Attack that sends fake ARP messages to associate attacker's MAC address with a victim's IP address."
"Adversary Emulation","Simulating real-world threat actor TTPs to test and improve defensive capabilities (e.g., MITRE Engage, Atomic Red Team)."
"Advanced Persistent Threat (APT)","A prolonged and targeted cyberattack in which an intruder gains and maintains unauthorized access to a network."
"Air-Gapped System","A computer or network physically isolated from external networks, including the Internet."
"Alert Fatigue","Desensitization of analysts to security alerts due to excessive volume or false positives."
"Allowlist (Whitelisting)","Security model that permits only explicitly approved entities and denies everything else."
"Anti-Forensic Technique","Methods used by attackers to hinder or prevent forensic investigation (e.g., timestamp manipulation, log wiping)."
"Application Allowlisting","Restricting execution to only pre-approved applications, a core endpoint protection control."
"Artifact","Any object created or modified by user activity that may serve as digital evidence (file, registry key, log entry, etc.)."
"Attack Surface","The complete set of points where an unauthorized user can try to enter or extract data from a system."
"Attack Tree","Hierarchical model representing possible attack paths toward a specific goal."
"Attribute-Based Access Control (ABAC)","Access control paradigm that evaluates attributes (user, resource, environment) using policies to make decisions."
"Authentication","Process of verifying the identity of a user, device, or entity."
"Authentication Factor","A category of credential: something you know, have, or are (or somewhere you are, something you exhibit)."
"Authorization","Process of determining what an authenticated entity is allowed to do."
"Backdoor","A hidden method for bypassing normal authentication or encryption in a system."
"Banner Grabbing","Technique to gather information about a service by reading its banner or response headers."
"Baseline Configuration","A documented set of secure settings used as a reference for systems."
"Behavioral Analysis","Monitoring user or system behavior to detect deviations from normal patterns."
"Biometric Spoofing","Presenting fake biometric traits (e.g., silicone fingerprint, deepfake face) to bypass authentication."
"BitLocker","Microsoft's full disk encryption feature using AES encryption."
"Blocklist (Blacklisting)","Security model that denies known bad entities but allows everything else."
"Blue Team","The defensive cybersecurity team responsible for protection, detection, and response."
"Bootkit","Malware that infects the boot sectors or Master Boot Record (MBR) to achieve persistence."
"Botnet","A network of compromised devices controlled by an attacker, often used for DDoS or spam."
"Brute Force Attack","Systematically trying all possible combinations to discover passwords or keys."
"Buffer Overflow","Vulnerability where more data is written to a buffer than it can hold, allowing code execution."
"Business Email Compromise (BEC)","Targeted scam where attackers impersonate executives to authorize fraudulent transfers."
"Cache Poisoning","Injecting false information into a cache (DNS, web) to redirect traffic."
"Canary Token","A decoy credential or file that triggers an alert when accessed by unauthorized parties."
"Carving (File Carving)","Recovering files from raw disk images without relying on file system metadata."
"Certificate Authority (CA)","Trusted entity that issues and manages digital certificates."
"Certificate Pinning","Binding a specific certificate or public key to a host to prevent MITM attacks using rogue CAs."
"Certificate Revocation List (CRL)","List of certificates that have been revoked before their expiration date."
"Chain of Custody","Documented process ensuring digital evidence integrity from collection to presentation in court."
"Challenge-Handshake Authentication Protocol (CHAP)","Authentication method using a three-way handshake with hashed passwords."
"Chief Information Security Officer (CISO)","Executive responsible for an organization's information security strategy."
"Clickjacking","Malicious technique that tricks users into clicking on hidden or disguised UI elements."
"Cloud Access Security Broker (CASB)","Security enforcement point between users and cloud services."
"Code Signing","Applying a digital signature to software to confirm authenticity and integrity."
"Cold Boot Attack","Extracting data from DRAM shortly after power-off by cooling the memory chips."
"Command and Control (C2/C&C)","Infrastructure used by attackers to communicate with compromised systems."
"Common Vulnerabilities and Exposures (CVE)","Standardized identifier for publicly known cybersecurity vulnerabilities."
"Common Vulnerability Scoring System (CVSS)","Framework for assessing the severity of security vulnerabilities."
"Compromise Indicator (IOC)","Forensic artifact indicating a system has been breached (hash, IP, domain, etc.)."
"Computer Emergency Response Team (CERT/CSIRT)","Organization responsible for receiving, reviewing, and responding to security incidents."
"Confidentiality","Property that information is not disclosed to unauthorized individuals or systems."
"Confidentiality, Integrity, Availability (CIA Triad)","The foundational model of information security objectives."
"Container Escape","Attack allowing malicious code to break out of a container into the host OS."
"Credential Dumping","Extracting authentication credentials from memory, files, or registry (e.g., Mimikatz, LSASS dumping)."
"Credential Stuffing","Automated injection of breached username/password pairs into login forms."
"Cross-Site Request Forgery (CSRF/XSRF)","Attack that tricks a user into performing unwanted actions on a web application where they are authenticated."
"Cross-Site Scripting (XSS)","Injection of malicious scripts into trusted websites viewed by other users."
"Cryptojacking","Unauthorized use of a victim's device to mine cryptocurrency."
"Cyber Kill Chain","Lockheed Martin model describing phases of a cyberattack (recon → delivery → exploitation → etc.)."
"Data Diode","Hardware device that enforces one-way data flow to prevent exfiltration."
"Data Exfiltration","Unauthorized transfer of data from a system to an external location."
"Data Loss Prevention (DLP)","Systems designed to detect and prevent unauthorized transmission of sensitive data."
"Dead Box Forensics","Analysis of a powered-off device using forensic imaging tools."
"Defense in Depth","Layered security approach using multiple controls to protect assets."
"Demilitarized Zone (DMZ)","Network zone between internal trusted network and external untrusted network hosting public services."
"Denial of Service (DoS)","Attack intended to make a system or service unavailable to legitimate users."
"Digital Evidence","Information stored or transmitted in digital form that may be relied upon in court."
"Digital Forensics","Scientific process of preserving, collecting, analyzing, and presenting digital evidence."
"Digital Signature","Cryptographic mechanism providing integrity, authenticity, and non-repudiation."
"Directory Traversal (Path Traversal)","Attack exploiting insufficient input validation to access files outside intended directories."
"Disinformation","Deliberately false information spread to deceive or harm."
"Distributed Denial of Service (DDoS)","DoS attack launched from multiple compromised systems simultaneously."
"DNS Tunneling","Technique of encoding data in DNS queries/responses to bypass network security controls."
"Domain Generation Algorithm (DGA)","Algorithm used by malware to generate pseudo-random domain names for C2 communication."
"Drive-by Download","Malware infection occurring simply by visiting a compromised website."
"Dual Control","Requiring two authorized individuals to complete a sensitive operation."
"Dynamic Analysis","Executing malware in a sandbox to observe its behavior."
"Elliptic Curve Cryptography (ECC)","Public-key cryptography based on elliptic curves, offering strong security with smaller keys."
"Encapsulating Security Payload (ESP)","IPsec protocol providing confidentiality, integrity, and authentication."
"Encryption","Process of converting plaintext into ciphertext to prevent unauthorized access."
"Endpoint Detection and Response (EDR)","Security solution continuously monitoring endpoints to detect and respond to threats."
"Endpoint Protection Platform (EPP)","Integrated suite including antivirus, firewall, and host intrusion prevention."
"Evil Twin Attack","Rogue Wi-Fi access point mimicking a legitimate one to intercept traffic."
"Extended Detection and Response (XDR)","Platform integrating telemetry from endpoints, network, cloud, and more for advanced threat detection."
"Extended Validation Certificate (EV SSL)","Certificate requiring rigorous identity verification, historically showing green address bar."
"Fail2Ban","Tool that bans IPs exhibiting malicious behavior such as repeated failed logins."
"False Positive","Alert indicating a threat when no actual threat exists."
"False Negative","Failure to detect an actual threat."
"Federated Identity","Allows users to use the same identity across multiple domains or organizations."
"File Carving","Recovering deleted or fragmented files from raw disk images using file signatures."
"File Integrity Monitoring (FIM)","Detecting unauthorized changes to critical system files."
"Fileless Malware","Malware that operates in memory without writing files to disk."
"Firewall","Device or software that controls incoming and outgoing network traffic based on security rules."
"Firmware","Low-level software embedded in hardware devices."
"Forensic Image","Exact, bit-for-bit copy of a storage device created for analysis."
"Forensic Toolkit (FTK)","Commercial digital forensics platform by AccessData."
"Forensically Sound","Methods that preserve the integrity and admissibility of digital evidence."
"Full Disk Encryption (FDE)","Encrypting an entire physical or logical drive."
"Fuzzing","Automated testing using malformed or unexpected input to discover vulnerabilities."
"Golden Ticket Attack","Forging Kerberos TGT using domain krbtgt hash to gain unlimited AD access."
"Hardening","Process of securing a system by reducing its attack surface."
"Hash","Fixed-size string generated from data using a one-way function (e.g., SHA-256)."
"Hashcat","Advanced password recovery tool supporting many hash types and GPU acceleration."
"Honeypot","Decoy system designed to attract and analyze attacker behavior."
"Host-Based Intrusion Detection System (HIDS)","Monitors a single host for suspicious activity."
"Identity and Access Management (IAM)","Framework for managing digital identities and controlling access."
"Identity Provider (IdP)","Service that authenticates users and issues identity assertions."
"Incident","Event that compromises or threatens the confidentiality, integrity, or availability of assets."
"Incident Response Plan (IRP)","Documented procedures for detecting, responding to, and recovering from security incidents."
"Indicator of Compromise (IOC)","Artifact observed on a network or system indicating intrusion."
"Information Security Continuous Monitoring (ISCM)","Ongoing observation and assessment of security controls."
"Initial Access","MITRE ATT&CK tactic representing how attackers first gain access to a system."
"Insider Threat","Malicious or negligent actions by authorized individuals that harm the organization."
"Integrity","Property that data has not been altered in an unauthorized manner."
"Internet of Things (IoT)","Network of physical devices embedded with sensors and network connectivity."
"Intrusion Detection System (IDS)","Monitors network or system activities for malicious activities or policy violations."
"Intrusion Prevention System (IPS)","IDS capable of actively blocking detected threats."
"IP Spoofing","Creating packets with forged source IP addresses."
"IPsec","Protocol suite for securing IP communications through authentication and encryption."
"Kerberoasting","Attack requesting service tickets and cracking them offline to obtain service account passwords."
"Keylogger","Malware or hardware that records keystrokes to steal credentials."
"Kill Chain","Phased model of a cyberattack (e.g., Cyber Kill Chain, MITRE ATT&CK)."
"Known Exploited Vulnerabilities (KEV)","CISA catalog of vulnerabilities actively exploited in the wild."
"Lateral Movement","Techniques attackers use to move deeper into a network after initial compromise."
"Least Privilege","Principle granting only the minimum permissions necessary to perform a function."
"Live Forensics","Collecting and analyzing volatile data from a running system."
"Living Off the Land (LotL)","Using legitimate system tools (PowerShell, WMI, etc.) for malicious purposes."
"Log Tampering","Altering or deleting log entries to hide malicious activity."
"Machine Identity","Digital credentials used by workloads, services, and devices (not humans)."
"Malware","Malicious software designed to harm or exploit systems."
"Man-in-the-Middle (MITM)","Attack where the attacker secretly intercepts and possibly alters communication."
"Master Boot Record (MBR)","First sector of a hard disk containing boot code and partition table."
"Mean Time To Detect (MTTD)","Average time taken to discover a security incident."
"Mean Time To Respond (MTTR)","Average time taken to contain and mitigate an incident."
"Memory Forensics","Analysis of volatile RAM to uncover evidence not present on disk."
"Metadata","Data about data (e.g., file creation time, author, GPS location in photos)."
"Metasploit","Open-source penetration testing framework."
"Mobile Device Management (MDM)","Software to manage, monitor, and secure mobile devices."
"Multi-Factor Authentication (MFA)","Authentication requiring two or more verification factors."
"Network Segmentation","Dividing a network into smaller zones to limit attacker movement."
"Network Tap","Device that copies network traffic for monitoring without interfering with flow."
"Nmap","Open-source tool for network discovery and security auditing."
"Non-Repudiation","Assurance that someone cannot deny the validity of something they did."
"OAuth 2.0","Authorization framework allowing third-party applications limited access to user accounts."
"Open Source Intelligence (OSINT)","Collecting intelligence from publicly available sources."
"OWASP Top 10","List of the most critical web application security risks."
"Pass-the-Hash (PtH)","Attack using stolen NTLM hashes to authenticate without knowing the plaintext password."
"Password Spraying","Trying a few common passwords against many accounts to avoid lockouts."
"Patch Management","Process of acquiring, testing, and installing code updates to fix vulnerabilities."
"Penetration Testing","Authorized simulated attack to evaluate security posture."
"Pharming","Redirecting users from legitimate websites to fraudulent ones via DNS poisoning."
"Phishing","Social engineering attack attempting to trick users into revealing sensitive information."
"Pivoting","Using a compromised system as a foothold to attack other systems in the network."
"Polymorphic Malware","Malware that mutates its code while maintaining the same functionality to evade detection."
"Post-Exploitation","Phase after gaining access where attackers maintain persistence and expand control."
"Privilege Escalation","Exploiting a flaw to gain higher access privileges than originally granted."
"Privileged Access Management (PAM)","Solutions controlling, monitoring, and auditing privileged accounts."
"Purple Team","Collaborative exercise combining red and blue team activities to improve defenses."
"Ransomware","Malware that encrypts victim files and demands payment for decryption."
"Rainbow Table","Precomputed table for reversing cryptographic hash functions."
"Red Team","Offensive security team simulating real-world attacks."
"Remote Access Trojan (RAT)","Malware providing attackers full control over a compromised system."
"Reverse Engineering","Analyzing compiled software to understand its functionality or extract information."
"Risk","Potential for loss due to a threat exploiting a vulnerability."
"Rootkit","Malware designed to conceal its existence and activity on a system."
"Salting","Adding random data to passwords before hashing to resist precomputed attacks."
"Sandbox","Isolated environment for safely executing and analyzing suspicious code."
"Secure Boot","UEFI feature ensuring only cryptographically signed bootloaders and OS kernels load."
"Security Information and Event Management (SIEM)","Solution for centralized log collection, analysis, and alerting."
"Security Orchestration, Automation and Response (SOAR)","Platform automating incident response workflows and integrating tools."
"Session Hijacking","Taking over an active user session by stealing or predicting session tokens."
"Shoulder Surfing","Observing someone entering credentials or sensitive information."
"Smishing","Phishing conducted via SMS messages."
"Social Engineering","Psychological manipulation to trick people into divulging confidential information."
"Software Bill of Materials (SBOM)","Formal record of components used to build a software product."
"Spear Phishing","Highly targeted phishing attack tailored to a specific individual or organization."
"SQL Injection (SQLi)","Code injection technique exploiting poor input validation in database queries."
"Steganography","Hiding secret data within ordinary non-secret files or messages."
"Supply Chain Attack","Compromising a trusted vendor or software component to attack downstream customers."
"Threat Actor","Individual or group conducting malicious cyber activities."
"Threat Hunting","Proactive search for threats that have evaded existing defenses."
"Threat Intelligence","Evidence-based knowledge about existing or emerging threats."
"Time Stomping","Modifying file timestamps (MACB) to hide malicious activity."
"Tokenization","Replacing sensitive data with non-sensitive equivalents (tokens)."
"Trojan","Malware disguised as legitimate software."
"Virtual Private Network (VPN)","Encrypted tunnel between a device and a network."
"Vishing","Phishing conducted over voice communication (phone calls)."
"Vulnerability","Weakness in a system that can be exploited by a threat."
"Vulnerability Management","Continuous process of identifying, prioritizing, and remediating vulnerabilities."
"Watering Hole Attack","Compromising websites likely to be visited by target victims."
"Web Application Firewall (WAF)","Firewall that monitors and filters HTTP traffic to web applications."
"Whaling","Spear phishing targeting high-profile individuals (executives, celebrities)."
"Wi-Fi Protected Access 3 (WPA3)","Latest Wi-Fi security protocol with enhanced protections."
"Write Blocker","Hardware or software preventing modification of evidence drives during acquisition."
"Zero Day","Vulnerability or exploit unknown to defenders or vendors."
"Zero Trust Architecture","Security model that assumes no implicit trust and verifies every request."
"Zombie","Compromised device part of a botnet."